Company,TypeName,Ram,Gpu,OpSys,Weight,Price,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
Lenovo,2 in 1 Convertible,8,0,0,1.37,11.497971408335056,1,1,158.48,7,0,512
Acer,Notebook,4,2,0,3.0,10.529521166038387,0,1,127.34,3,0,256
Dell,Ultrabook,8,0,0,1.41,10.830989602063529,0,0,165.63,5,0,256
HP,Notebook,8,1,0,1.91,10.075697828858553,0,0,100.45,2,0,128
HP,Notebook,16,2,0,2.9,10.94065909478203,0,1,127.34,7,1000,0
MSI,Gaming,16,2,0,4.14,11.799214467550595,0,0,127.34,7,1000,512
Lenovo,2 in 1 Convertible,8,2,0,2.0,11.413367194793471,1,1,141.21,7,0,512
Dell,Notebook,8,1,0,2.8,11.016113851311959,0,0,127.34,7,1000,128
Lenovo,Notebook,4,0,2,2.2,10.071427859772655,0,0,141.21,3,0,256
HP,Notebook,4,0,0,2.1,10.557612160311693,0,1,141.21,5,500,0
Dell,Notebook,4,0,0,2.18,10.46327361168887,0,0,141.21,5,1000,0
Dell,Notebook,8,1,0,2.24,10.312419975886602,0,0,141.21,5,1000,0
Dell,2 in 1 Convertible,8,0,0,2.67,10.65894546204638,1,0,141.21,5,0,256
Asus,2 in 1 Convertible,8,0,0,1.1,11.288127045116099,1,0,165.63,7,0,1024
Lenovo,Notebook,4,0,2,2.2,10.121930473176448,0,0,141.21,5,1000,0
HP,Notebook,8,2,0,2.5,10.901174660077132,0,0,127.34,7,1000,0
Lenovo,Notebook,8,0,0,2.05,10.755504261623273,0,0,141.21,7,0,256
Apple,Ultrabook,8,0,1,1.37,11.55570897765527,0,1,226.98,5,0,512
Asus,Gaming,16,1,0,3.2,11.320937983275899,0,0,127.34,2,1000,256
Dell,Notebook,8,1,2,2.14,10.575552291987458,0,0,141.21,7,0,256
Lenovo,2 in 1 Convertible,16,0,0,1.36,11.799214467550595,1,0,209.8,7,0,512
Toshiba,Notebook,8,2,0,2.2,10.675084480373934,0,0,100.45,7,500,0
Dell,Notebook,12,0,0,2.3,10.545166939273855,0,0,100.45,7,1000,0
Dell,Notebook,8,1,2,2.8,10.977734058532482,0,0,127.34,7,1000,128
Acer,Notebook,8,2,0,2.2,10.588970437272568,0,1,141.21,7,1000,0
Lenovo,Notebook,4,0,0,2.8,10.16796189691066,0,0,106.11,3,1000,0
Lenovo,Notebook,8,2,2,2.8,10.719642319211694,0,0,127.34,7,2000,0
Lenovo,Notebook,6,2,0,2.8,10.731351797533883,0,0,106.11,7,1000,128
Dell,Notebook,4,1,2,2.25,10.034728073115927,0,0,141.21,3,1000,0
Lenovo,Gaming,8,2,0,2.5,10.695803821362974,0,1,141.21,5,0,256
Lenovo,Notebook,6,0,0,2.2,10.336895919115271,0,0,141.21,5,0,256
Acer,Notebook,8,2,0,3.0,10.833094824406928,0,1,141.21,7,0,256
Acer,Notebook,12,0,0,2.15,10.466313041010059,1,1,141.21,7,1000,0
Lenovo,Notebook,8,0,0,1.95,10.975912595539462,0,1,141.21,7,0,256
Asus,Ultrabook,8,2,0,1.7,10.86006688870326,0,0,141.21,5,0,256
Lenovo,Gaming,16,2,0,2.5,11.04799884586991,0,1,141.21,7,1000,256
Lenovo,Notebook,8,2,2,2.2,10.466328214969593,0,0,141.21,7,1000,0
Acer,Notebook,2,0,2,2.19,9.268960161930154,0,0,100.45,1,0,16
Asus,Gaming,8,2,0,3.0,11.054761232653416,0,0,127.34,7,1000,0
HP,Notebook,8,0,0,2.54,10.16796189691066,0,0,106.11,3,1000,0
