Company,TypeName,Ram,Gpu,OpSys,Weight,TouchScreen,IPS,PPI,Cpu_Brand,HDD,SSD
HP,Workstation,8,2,0,2.6,0,0,141.21,7,0,256
Toshiba,Notebook,16,2,0,2.4,0,1,141.21,7,0,512
Dell,Notebook,8,1,0,2.02,0,0,141.21,7,2000,128
Lenovo,Notebook,4,0,2,2.2,0,0,100.45,1,1000,0
Dell,Gaming,8,2,0,2.65,0,0,141.21,5,1000,0
Dell,Notebook,8,0,0,2.36,1,0,100.45,5,2000,0
Dell,Notebook,8,0,0,1.36,0,0,157.35,5,0,256
HP,Notebook,4,0,0,1.86,0,0,100.45,3,500,0
Asus,Notebook,8,0,0,2.0,0,0,157.35,5,0,256
Lenovo,Notebook,6,2,0,2.8,0,0,106.11,5,1000,128
HP,Notebook,8,0,0,1.86,0,0,141.21,5,1000,0
Lenovo,Notebook,8,2,2,2.2,0,0,100.45,3,0,256
HP,Notebook,8,0,0,2.04,0,0,100.45,1,2000,0
Dell,Notebook,8,1,0,2.8,0,0,127.34,5,1000,128
Lenovo,Gaming,8,2,2,2.4,0,1,141.21,5,1000,128
Dell,Notebook,8,1,0,2.33,0,0,141.21,7,0,256
HP,Ultrabook,8,0,0,1.36,0,1,157.35,7,0,256
Asus,2 in 1 Convertible,12,2,0,2.26,1,0,141.21,7,2000,512
Acer,Notebook,4,1,0,2.1,0,0,100.45,2,0,128
Asus,Gaming,16,1,0,3.25,0,1,127.34,2,1000,256
Lenovo,Notebook,4,1,0,2.6,0,0,106.11,2,0,128
Dell,2 in 1 Convertible,8,0,0,1.62,1,0,165.63,7,0,256
HP,Notebook,4,1,0,1.91,0,0,141.21,2,0,256
Lenovo,Netbook,4,0,0,1.59,0,1,135.09,1,0,128
Dell,Notebook,4,0,0,1.8,0,0,100.45,1,500,0
Asus,Notebook,4,0,0,1.5,0,0,111.94,1,0,0
Acer,Notebook,8,2,2,2.4,0,0,141.21,7,1000,0
HP,Gaming,8,2,0,3.35,0,1,127.34,7,1000,128
Lenovo,Notebook,4,0,2,1.85,0,0,141.21,3,0,128
Asus,Gaming,8,2,0,2.3,0,1,141.21,7,1000,128
Lenovo,Notebook,8,2,0,1.5,0,1,157.35,5,0,256
Asus,Ultrabook,16,0,0,1.1,1,0,165.63,7,0,512
Lenovo,Ultrabook,8,0,0,1.13,0,1,209.8,7,0,512
Lenovo,Notebook,4,0,0,1.5,0,1,165.63,3,0,128
Dell,Workstation,8,1,0,2.23,0,0,141.21,5,500,0
Dell,Workstation,8,2,0,2.0,0,1,141.21,7,0,256
Lenovo,2 in 1 Convertible,16,0,0,1.42,1,0,209.8,7,0,512
Asus,Gaming,8,2,0,3.0,0,0,127.34,7,1000,0
Asus,Gaming,16,2,0,3.0,0,0,127.34,7,1000,256
Acer,Notebook,12,2,0,2.2,0,1,100.45,5,1000,0
MSI,Gaming,8,2,0,2.7,0,0,127.34,7,0,256
Dell,Notebook,8,1,2,2.33,0,0,141.21,7,0,256
HP,Ultrabook,4,1,0,1.91,0,0,141.21,2,0,256
Lenovo,Notebook,8,1,0,2.1,0,1,141.21,7,0,256
